,,lucia,,0s,06.22.2022-01.01.56
,,lucia,compass.go - Sem título (Workspace) - Visual Studio Code,16.7030391s,06.22.2022-01.02.13
,,lucia,STARONE_PROJECTS,10.2662873s,06.22.2022-01.02.23
,,lucia,compass.go - Sem título (Workspace) - Visual Studio Code,10.4937377s,06.22.2022-01.02.34
,,lucia,server - How do I return the IP address of a client who is accessing a Go program in /cgi-bin? - Stack Overflow - Google Chrome,3.9289031s,06.22.2022-01.02.38
,,lucia,- The Go Programming Language - Google Chrome,2.6301836s,06.22.2022-01.02.40
,,lucia,compass.go - Sem título (Workspace) - Visual Studio Code,13.1200441s,06.22.2022-01.02.53
,,lucia,- The Go Programming Language - Google Chrome,1.8509478s,06.22.2022-01.02.55
,,lucia,Measuring execution time in Go (Example) - Google Chrome,1.746285s,06.22.2022-01.02.57
,,lucia,compass.go - Sem título (Workspace) - Visual Studio Code,6.0153553s,06.22.2022-01.03.03
,,lucia,Measuring execution time in Go (Example) - Google Chrome,1.8551032s,06.22.2022-01.03.05
00:00:00:00:00:00,127.0.0.1,lucia,,0s,06.22.2022-02.50.57
00:00:00:00:00:00,127.0.0.1,lucia,compass.go - Sem título (Workspace) - Visual Studio Code,22.905572s,06.22.2022-02.51.20
00:00:00:00:00:00,127.0.0.1,lucia,Entendendo o defer no Go | DigitalOcean - Google Chrome,2.4064638s,06.22.2022-02.51.23
00:00:00:00:00:00,127.0.0.1,lucia,LASTINPUTINFO (winuser.h) - Win32 apps | Microsoft Docs - Google Chrome,1.0890966s,06.22.2022-02.51.24
00:00:00:00:00:00,127.0.0.1,lucia,BlockInput function (winuser.h) - Win32 apps | Microsoft Docs - Google Chrome,435.0584ms,06.22.2022-02.51.24
00:00:00:00:00:00,127.0.0.1,lucia,golang how to reset lastinputinfo - Pesquisa Google - Google Chrome,546.1157ms,06.22.2022-02.51.25
00:00:00:00:00:00,127.0.0.1,lucia,golang getenv ip address - Pesquisa Google - Google Chrome,433.0415ms,06.22.2022-02.51.25
00:00:00:00:00:00,127.0.0.1,lucia,How do I get the local IP address in Go? - Stack Overflow - Google Chrome,436.1423ms,06.22.2022-02.51.26
00:00:00:00:00:00,127.0.0.1,lucia,idle/fetch_windows.go at master · lextoumbourou/idle - Google Chrome,2.9442728s,06.22.2022-02.51.28
00:00:00:00:00:00,127.0.0.1,lucia,How to Understand Idle Times in the Activity Summary Report - Google Chrome,437.251ms,06.22.2022-02.51.29
00:00:00:00:00:00,127.0.0.1,lucia,What is Idle time and how can I set up or edit it in Insightful? | Insightful Knowledgebase - Google Chrome,441.9906ms,06.22.2022-02.51.29
